This is Ultimate 0.1.23-3204b74
[2018-10-30 21:35:38,342 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,342 INFO  L77               Intersect]: Start intersect. First operand 58 states and 66 transitions. Second operand 4 states and 92 transitions.
[2018-10-30 21:35:38,348 INFO  L84               Intersect]: Finished intersect. Result 81 states and 91 transitions.
[2018-10-30 21:35:38,349 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,350 INFO  L101             Complement]: Start complement. Operand 12 states.
[2018-10-30 21:35:38,350 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,389 INFO  L107             Complement]: Finished complement. Result 71 states and 1633 transitions.
[2018-10-30 21:35:38,390 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,390 INFO  L77               Intersect]: Start intersect. First operand 81 states and 91 transitions. Second operand 71 states and 1633 transitions.
[2018-10-30 21:35:38,403 INFO  L84               Intersect]: Finished intersect. Result 113 states and 125 transitions.
[2018-10-30 21:35:38,404 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,404 INFO  L101             Complement]: Start complement. Operand 12 states.
[2018-10-30 21:35:38,405 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,434 INFO  L107             Complement]: Finished complement. Result 71 states and 1633 transitions.
[2018-10-30 21:35:38,435 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,436 INFO  L77               Intersect]: Start intersect. First operand 113 states and 125 transitions. Second operand 71 states and 1633 transitions.
[2018-10-30 21:35:38,442 INFO  L84               Intersect]: Finished intersect. Result 133 states and 147 transitions.
[2018-10-30 21:35:38,443 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,445 INFO  L101             Complement]: Start complement. Operand 16 states.
[2018-10-30 21:35:38,445 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
